caves;stalagmite;latitude;longitude;depth;age;O18;O18_error;C13;C13_error;
Cueva de Diamante;NAR-C;-5.733333;-77.5;8.33E-16;2.404;-7.14;-;-10.28;-;
Cueva de Diamante;NAR-C;-5.733333;-77.5;0.422222222;2.514;-7.7;-;-9.59;-;3.84
Cueva de Diamante;NAR-C;-5.733333;-77.5;0.844444444;2.623;-7.7;-;-11.3;-;3.87
Cueva de Diamante;NAR-C;-5.733333;-77.5;1.266666667;2.733;-7.96;-;-11.61;-;3.84
Cueva de Diamante;NAR-C;-5.733333;-77.5;1.688888889;2.843;-7.57;-;-11.66;-;3.84
Cueva de Diamante;NAR-C;-5.733333;-77.5;2.111111111;2.952;-7.7;-;-11.5;-;3.87
Cueva de Diamante;NAR-C;-5.733333;-77.5;2.533333333;3.132;-7.89;-;-10.79;-;2.35
Cueva de Diamante;NAR-C;-5.733333;-77.5;2.955555556;3.312;-7.44;-;-10.46;-;2.35
Cueva de Diamante;NAR-C;-5.733333;-77.5;3.377777778;3.492;-7.18;-;-10.94;-;2.35
Cueva de Diamante;NAR-C;-5.733333;-77.5;3.8;3.924;-7.04;-;-10.08;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;4.1;4.231;-7.76;-;-10.98;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;4.2;4.333;-7.92;-;-11.31;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;4.375;4.512;-7.63;-;-11.3;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;4.55;4.69;-7.48;-;-10.66;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;4.725;4.869;-7.31;-;-10.25;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;4.9;5.048;-7.21;-;-10.65;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;5.075;5.227;-7.23;-;-10.59;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;5.25;5.406;-8.43;-;-10.58;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;5.425;5.584;-8.08;-;-10.88;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;5.6;5.763;-6.78;-;-9.35;-;0.98
Cueva de Diamante;NAR-C;-5.733333;-77.5;5.7;5.865;-6.77;-;-9.49;-;0.98
