caves;stalagmite;age;temp
Botuvera Cave;BT2;22.04;15.38
Botuvera Cave;BT2;22.03;15.48
Botuvera Cave;BT2;22.02;15.44
Botuvera Cave;BT2;22.01;15.23
Botuvera Cave;BT2;22;15.2
Botuvera Cave;BT2;21.99;15.25
Botuvera Cave;BT2;21.98;15.46
Botuvera Cave;BT2;21.97;15.11
Botuvera Cave;BT2;21.96;15.33
Botuvera Cave;BT2;21.95;15.02
Botuvera Cave;BT2;21.94;15.16
Botuvera Cave;BT2;21.93;15.08
Botuvera Cave;BT2;21.92;14.97
Botuvera Cave;BT2;21.91;15.09
Botuvera Cave;BT2;21.9;14.94
Botuvera Cave;BT2;21.89;15.3
Botuvera Cave;BT2;21.88;15.04
Botuvera Cave;BT2;21.87;15.3
Botuvera Cave;BT2;21.86;15.24
Botuvera Cave;BT2;21.85;15.4
Botuvera Cave;BT2;21.84;15.4
Botuvera Cave;BT2;21.83;15.16
Botuvera Cave;BT2;21.82;15.15
Botuvera Cave;BT2;21.81;14.97
Botuvera Cave;BT2;21.8;15.23
Botuvera Cave;BT2;21.79;15.35
Botuvera Cave;BT2;21.78;15.22
Botuvera Cave;BT2;21.77;15.3
Botuvera Cave;BT2;21.76;14.88
Botuvera Cave;BT2;21.75;15.06
Botuvera Cave;BT2;21.74;15.13
Botuvera Cave;BT2;21.73;15.39
Botuvera Cave;BT2;21.72;15.33
Botuvera Cave;BT2;21.71;15.37
Botuvera Cave;BT2;21.7;15.3
Botuvera Cave;BT2;21.69;15.14
Botuvera Cave;BT2;21.68;14.99
Botuvera Cave;BT2;21.67;15.25
Botuvera Cave;BT2;21.66;15.54
Botuvera Cave;BT2;21.65;15.22
Botuvera Cave;BT2;21.64;15.19
Botuvera Cave;BT2;21.63;15.38
Botuvera Cave;BT2;21.62;15.25
Botuvera Cave;BT2;21.61;15.33
Botuvera Cave;BT2;21.6;15.16
Botuvera Cave;BT2;21.59;15.49
Botuvera Cave;BT2;21.58;15.14
Botuvera Cave;BT2;21.57;15.4
Botuvera Cave;BT2;21.56;15.05
Botuvera Cave;BT2;21.55;15.25
Botuvera Cave;BT2;21.54;15.21
Botuvera Cave;BT2;21.53;15.33
Botuvera Cave;BT2;21.52;15.38
Botuvera Cave;BT2;21.51;15.01
Botuvera Cave;BT2;21.5;15.29
Botuvera Cave;BT2;21.49;15.27
Botuvera Cave;BT2;21.48;15.35
Botuvera Cave;BT2;21.47;15.18
Botuvera Cave;BT2;21.46;15.11
Botuvera Cave;BT2;21.45;15.35
Botuvera Cave;BT2;21.44;15.28
Botuvera Cave;BT2;21.43;15.6
Botuvera Cave;BT2;21.42;15.22
Botuvera Cave;BT2;21.41;15.02
Botuvera Cave;BT2;21.4;15.36
Botuvera Cave;BT2;21.39;15.13
Botuvera Cave;BT2;21.38;15.11
Botuvera Cave;BT2;21.37;15.24
Botuvera Cave;BT2;21.36;15.21
Botuvera Cave;BT2;21.35;15.55
Botuvera Cave;BT2;21.34;15.82
Botuvera Cave;BT2;21.33;15.28
Botuvera Cave;BT2;21.32;15.37
Botuvera Cave;BT2;21.31;15.24
Botuvera Cave;BT2;21.3;15.1
Botuvera Cave;BT2;21.29;15.24
Botuvera Cave;BT2;21.28;15.14
Botuvera Cave;BT2;21.27;15.46
Botuvera Cave;BT2;21.26;15.13
Botuvera Cave;BT2;21.25;15.42
Botuvera Cave;BT2;21.24;15.28
Botuvera Cave;BT2;21.23;15.31
Botuvera Cave;BT2;21.22;14.97
Botuvera Cave;BT2;21.21;15.2
Botuvera Cave;BT2;21.2;15.02
Botuvera Cave;BT2;21.19;15.26
Botuvera Cave;BT2;21.18;14.99
Botuvera Cave;BT2;21.17;15.11
Botuvera Cave;BT2;21.16;15.2
Botuvera Cave;BT2;21.15;15.15
Botuvera Cave;BT2;21.14;15.28
Botuvera Cave;BT2;21.13;15.41
Botuvera Cave;BT2;21.12;15.41
Botuvera Cave;BT2;21.11;15.13
Botuvera Cave;BT2;21.1;15.12
Botuvera Cave;BT2;21.09;15.28
Botuvera Cave;BT2;21.08;15.41
Botuvera Cave;BT2;21.07;15.39
Botuvera Cave;BT2;21.06;15.36
Botuvera Cave;BT2;21.05;15.29
Botuvera Cave;BT2;21.04;15.15
Botuvera Cave;BT2;21.03;15.45
Botuvera Cave;BT2;21.02;15.08
Botuvera Cave;BT2;21.01;15.57
Botuvera Cave;BT2;21;15.25
Botuvera Cave;BT2;20.99;15.38
Botuvera Cave;BT2;20.98;14.98
Botuvera Cave;BT2;20.97;15.19
Botuvera Cave;BT2;20.96;15.25
Botuvera Cave;BT2;20.95;15.12
Botuvera Cave;BT2;20.94;15.33
Botuvera Cave;BT2;20.93;15.27
Botuvera Cave;BT2;20.92;14.98
Botuvera Cave;BT2;20.91;15.4
Botuvera Cave;BT2;20.9;15.44
Botuvera Cave;BT2;20.89;15.06
Botuvera Cave;BT2;20.88;15.34
Botuvera Cave;BT2;20.87;15.16
Botuvera Cave;BT2;20.86;15.29
Botuvera Cave;BT2;20.85;15.23
Botuvera Cave;BT2;20.84;15.36
Botuvera Cave;BT2;20.83;15.29
Botuvera Cave;BT2;20.82;15.09
Botuvera Cave;BT2;20.81;15.06
Botuvera Cave;BT2;20.8;15.27
Botuvera Cave;BT2;20.79;15.18
Botuvera Cave;BT2;20.78;15.13
Botuvera Cave;BT2;20.77;15.02
Botuvera Cave;BT2;20.76;15.11
Botuvera Cave;BT2;20.75;15.28
Botuvera Cave;BT2;20.74;15.46
Botuvera Cave;BT2;20.73;15.03
Botuvera Cave;BT2;20.72;15.11
Botuvera Cave;BT2;20.71;15.19
Botuvera Cave;BT2;20.7;15.08
Botuvera Cave;BT2;20.69;15.03
Botuvera Cave;BT2;20.68;15.31
Botuvera Cave;BT2;20.67;15.04
Botuvera Cave;BT2;20.66;15.17
Botuvera Cave;BT2;20.65;15.27
Botuvera Cave;BT2;20.64;15.07
Botuvera Cave;BT2;20.63;15.1
Botuvera Cave;BT2;20.62;15.2
Botuvera Cave;BT2;20.61;15.17
Botuvera Cave;BT2;20.6;15.17
Botuvera Cave;BT2;20.59;15.25
Botuvera Cave;BT2;20.58;15.02
Botuvera Cave;BT2;20.57;15.21
Botuvera Cave;BT2;20.56;15.22
Botuvera Cave;BT2;20.55;14.98
Botuvera Cave;BT2;20.54;15.02
Botuvera Cave;BT2;20.53;15.27
Botuvera Cave;BT2;20.52;15.28
Botuvera Cave;BT2;20.51;15.26
Botuvera Cave;BT2;20.5;15.33
Botuvera Cave;BT2;20.49;15.12
Botuvera Cave;BT2;20.48;15.1
Botuvera Cave;BT2;20.47;15.35
Botuvera Cave;BT2;20.46;15.08
Botuvera Cave;BT2;20.45;15.24
Botuvera Cave;BT2;20.44;15.22
Botuvera Cave;BT2;20.43;15.27
Botuvera Cave;BT2;20.42;15.24
Botuvera Cave;BT2;20.41;15.37
Botuvera Cave;BT2;20.4;15.09
Botuvera Cave;BT2;20.39;15.28
Botuvera Cave;BT2;20.38;15
Botuvera Cave;BT2;20.37;15.26
Botuvera Cave;BT2;20.36;15.2
Botuvera Cave;BT2;20.35;15.45
Botuvera Cave;BT2;20.34;15.33
Botuvera Cave;BT2;20.33;15.01
Botuvera Cave;BT2;20.32;15.1
Botuvera Cave;BT2;20.31;15.49
Botuvera Cave;BT2;20.3;15.02
Botuvera Cave;BT2;20.29;14.91
Botuvera Cave;BT2;20.28;15.3
Botuvera Cave;BT2;20.27;15.21
Botuvera Cave;BT2;20.26;15.33
Botuvera Cave;BT2;20.25;15.14
Botuvera Cave;BT2;20.24;14.98
Botuvera Cave;BT2;20.23;15.26
Botuvera Cave;BT2;20.22;14.94
Botuvera Cave;BT2;20.21;14.91
Botuvera Cave;BT2;20.2;15.01
Botuvera Cave;BT2;20.19;15.16
Botuvera Cave;BT2;20.18;15.38
Botuvera Cave;BT2;20.17;15.14
Botuvera Cave;BT2;20.16;15.47
Botuvera Cave;BT2;20.15;15.01
Botuvera Cave;BT2;20.14;15.19
Botuvera Cave;BT2;20.13;15.01
Botuvera Cave;BT2;20.12;15.12
Botuvera Cave;BT2;20.11;15.32
Botuvera Cave;BT2;20.1;15.04
Botuvera Cave;BT2;20.09;15.17
Botuvera Cave;BT2;20.08;15.05
Botuvera Cave;BT2;20.07;15.3
Botuvera Cave;BT2;20.06;15.33
Botuvera Cave;BT2;20.05;15.1
Botuvera Cave;BT2;20.04;15.33
Botuvera Cave;BT2;20.03;15.32
Botuvera Cave;BT2;20.02;15.34
Botuvera Cave;BT2;20.01;15.1
Botuvera Cave;BT2;20;15.31
Botuvera Cave;BT2;19.99;15.25
Botuvera Cave;BT2;19.98;15.1
Botuvera Cave;BT2;19.97;15.19
Botuvera Cave;BT2;19.96;15.29
Botuvera Cave;BT2;19.95;15.32
Botuvera Cave;BT2;19.94;14.84
Botuvera Cave;BT2;19.93;15.16
Botuvera Cave;BT2;19.92;15.08
Botuvera Cave;BT2;19.91;15.38
Botuvera Cave;BT2;19.9;15.3
Botuvera Cave;BT2;19.89;15.35
Botuvera Cave;BT2;19.88;15
Botuvera Cave;BT2;19.87;15.3
Botuvera Cave;BT2;19.86;15.23
Botuvera Cave;BT2;19.85;15.69
Botuvera Cave;BT2;19.84;15.18
Botuvera Cave;BT2;19.83;15.36
Botuvera Cave;BT2;19.82;15.43
Botuvera Cave;BT2;19.81;15.47
Botuvera Cave;BT2;19.8;15.48
Botuvera Cave;BT2;19.79;15.41
Botuvera Cave;BT2;19.78;15.27
Botuvera Cave;BT2;19.77;15.34
Botuvera Cave;BT2;19.76;15.18
Botuvera Cave;BT2;19.75;15.37
Botuvera Cave;BT2;19.74;15.14
Botuvera Cave;BT2;19.73;15.18
Botuvera Cave;BT2;19.72;15.36
Botuvera Cave;BT2;19.71;15.26
Botuvera Cave;BT2;19.7;15.24
Botuvera Cave;BT2;19.69;15.27
Botuvera Cave;BT2;19.68;15.18
Botuvera Cave;BT2;19.67;15.19
Botuvera Cave;BT2;19.66;15.17
Botuvera Cave;BT2;19.65;15.04
Botuvera Cave;BT2;19.64;15.14
Botuvera Cave;BT2;19.63;15.1
Botuvera Cave;BT2;19.62;15.22
Botuvera Cave;BT2;19.61;15.13
Botuvera Cave;BT2;19.6;15.3
Botuvera Cave;BT2;19.59;15.16
Botuvera Cave;BT2;19.58;15.11
Botuvera Cave;BT2;19.57;15.26
Botuvera Cave;BT2;19.56;15.17
Botuvera Cave;BT2;19.55;15.38
Botuvera Cave;BT2;19.54;15.5
Botuvera Cave;BT2;19.53;15.26
